ETAT;ETAT_CODE;REVENU_MOYEN_R
Acre;AC;887.84
Alagoas;AL;768.42
Amapá;AP;855.53
Amazonas;AM;828.11
Bahia;BA;947.04
Ceará;CE;979.89
Distrito Federal;DF;2384.47
Espírito Santo;ES;1323.17
Goiás;GO;1235.58
Maranhão;MA;662.06
Mato Grosso;MT;1344.75
Mato Grosso do Sul;MS;1423.54
Minas Gerais;MG;1290.35
Pará;PA;862.80
Paraíba;PB;860.98
Paraná;PR;1478.76
Pernambuco;PE;882.19
Piauí;PI;836.11
Rio de Janeiro;RJ;1664.00
Rio Grande do Norte;RN;1045.06
Rio Grande do Sul;RS;1713.63
Rondônia;RO;1109.35
Roraima;RR;950.04
Santa Catarina;SC;1601.42
São Paulo;SP;1787.48
Sergipe;SE;993.95
Tocantins;TO;1018.67